sku,nombre_producto,Descripciones,nombre_variante,grupo_variante,presentacion,color,categoria,subcategoria,precio_cop,stock,gestionar_stock,peso_kg,codigo_industrial,url_slug,imagen_principal,galeria_imagenes,usos,caracteristicas,modo_empleo,aplicacion_faq,pre_tratamiento,ficha_tecnica_url,ghs_pictogramas,precauciones_h,consejos_prudencia_p,estado
MA-RP-036,Maxón Rápido,,Maxón Rápido 3.6L,MA-RP,3.6L,,CALZADO,Ensuelado,,0,1,,1122010518,maxon-rapido-3-6l,products/maxon-rapido/036-01.jpg,products/maxon-rapido/036-02.jpg|products/maxon-rapido/036-03.jpg,ADHESIVO PU,Mayor viscosidad Secado rápido Alta fuerza inicial y final,"Preparar: asegure que las superficies estén limpias y libres de polvo, grasa, aceites o tintas, y realice el pretratamiento según el material",,,,,,,
MA-RP-010,Maxón Rápido,,Maxón Rápido 10L,MA-RP,10L,,CALZADO,Ensuelado,,0,1,,1122010541,maxon-rapido-10l,products/maxon-rapido/010-01.jpg,products/maxon-rapido/010-02.jpg|products/maxon-rapido/010-03.jpg,ADHESIVO PU,Mayor viscosidad Secado rápido Alta fuerza inicial y final,"Preparar: asegure que las superficies estén limpias y libres de polvo, grasa, aceites o tintas, y realice el pretratamiento según el material",,,,,,,
MA-RP-043,Maxón Rápido,,Maxón Rápido 4.3 Gal,MA-RP,4.3 Gal,,CALZADO,Ensuelado,,0,1,,1122010527,maxon-rapido-4-3-gal,products/maxon-rapido/043-01.jpg,products/maxon-rapido/043-02.jpg|products/maxon-rapido/043-03.jpg,ADHESIVO PU,Mayor viscosidad Secado rápido Alta fuerza inicial y final,"Preparar: asegure que las superficies estén limpias y libres de polvo, grasa, aceites o tintas, y realice el pretratamiento según el material",,,,,,,
MA-RP-080,Maxón Rápido,,Maxón Rápido 8 Gal,MA-RP,8 Gal,,CALZADO,Ensuelado,,0,1,,1122012922,maxon-rapido-8-gal,products/maxon-rapido/080-01.jpg,products/maxon-rapido/080-02.jpg|products/maxon-rapido/080-03.jpg,ADHESIVO PU,Mayor viscosidad Secado rápido Alta fuerza inicial y final,"Preparar: asegure que las superficies estén limpias y libres de polvo, grasa, aceites o tintas, y realice el pretratamiento según el material",,,,,,,
MA-RP-530,Maxón Rápido,,Maxón Rápido 53 Gal,MA-RP,53 Gal,,CALZADO,Ensuelado,,0,1,,1122010652,maxon-rapido-53-gal,products/maxon-rapido/530-01.jpg,products/maxon-rapido/530-02.jpg|products/maxon-rapido/530-03.jpg,ADHESIVO PU,Mayor viscosidad Secado rápido Alta fuerza inicial y final,"Preparar: asegure que las superficies estén limpias y libres de polvo, grasa, aceites o tintas, y realice el pretratamiento según el material",,,,,,,
MA-UL-375,Maxón Ultra,,Maxón Ultra 375cc,MA-UL,375cc,,CALZADO,Ensuelado,,0,1,,1122010904,maxon-ultra-375cc,products/maxon-ultra/375-01.jpg,products/maxon-ultra/375-02.jpg|products/maxon-ultra/375-03.jpg,ADHESIVO PU,Viscosidad media Secado Rápido Mejora la brochabilidad Alta fuerza inicial y final,"Preparar: Limpie las superficies y asegúrese de que estén libres de polvo, grasa y aceites",,,,,,,
MA-UL-750,Maxón Ultra,,Maxón Ultra 750cc,MA-UL,750cc,,CALZADO,Ensuelado,,0,1,,1122010909,maxon-ultra-750cc,products/maxon-ultra/750-01.jpg,products/maxon-ultra/750-02.jpg|products/maxon-ultra/750-03.jpg,ADHESIVO PU,Viscosidad media Secado Rápido Mejora la brochabilidad Alta fuerza inicial y final,"Preparar: Limpie las superficies y asegúrese de que estén libres de polvo, grasa y aceites",,,,,,,
MA-UL-036,Maxón Ultra,,Maxón Ultra 3.6L,MA-UL,3.6L,,CALZADO,Ensuelado,,0,1,,1122010918,maxon-ultra-3-6l,products/maxon-ultra/036-01.jpg,products/maxon-ultra/036-02.jpg|products/maxon-ultra/036-03.jpg,ADHESIVO PU,Viscosidad media Secado Rápido Mejora la brochabilidad Alta fuerza inicial y final,"Preparar: Limpie las superficies y asegúrese de que estén libres de polvo, grasa y aceites",,,,,,,
MA-UL-010,Maxón Ultra,,Maxón Ultra 10L,MA-UL,10L,,CALZADO,Ensuelado,,0,1,,1122010941,maxon-ultra-10l,products/maxon-ultra/010-01.jpg,products/maxon-ultra/010-02.jpg|products/maxon-ultra/010-03.jpg,ADHESIVO PU,Viscosidad media Secado Rápido Mejora la brochabilidad Alta fuerza inicial y final,"Preparar: Limpie las superficies y asegúrese de que estén libres de polvo, grasa y aceites",,,,,,,
MA-UL-043,Maxón Ultra,,Maxón Ultra 4.3 Gal,MA-UL,4.3 Gal,,CALZADO,Ensuelado,,0,1,,1122010927,maxon-ultra-4-3-gal,products/maxon-ultra/043-01.jpg,products/maxon-ultra/043-02.jpg|products/maxon-ultra/043-03.jpg,ADHESIVO PU,Viscosidad media Secado Rápido Mejora la brochabilidad Alta fuerza inicial y final,"Preparar: Limpie las superficies y asegúrese de que estén libres de polvo, grasa y aceites",,,,,,,
MA-UL-530,Maxón Ultra,,Maxón Ultra 53 Gal,MA-UL,53 Gal,,CALZADO,Ensuelado,,0,1,,1122010952,maxon-ultra-53-gal,products/maxon-ultra/530-01.jpg,products/maxon-ultra/530-02.jpg|products/maxon-ultra/530-03.jpg,ADHESIVO PU,Viscosidad media Secado Rápido Mejora la brochabilidad Alta fuerza inicial y final,"Preparar: Limpie las superficies y asegúrese de que estén libres de polvo, grasa y aceites",,,,,,,
IN-8D-375,Incafom 8000D,,Incafom 8000D 375cc,IN-8D,375cc,,,,,0,1,,1111510304,incafom-8000d-375cc,products/incafom-8000d/375-01.jpg,products/incafom-8000d/375-02.jpg|products/incafom-8000d/375-03.jpg,PEGANTE PARA TAPICERÍA LIBRE DE TOLUENO,Resistencia temperatura Alto tack inicial y final Ideal para pegues curvos,"Preparar: Superficies libres de polvo, grasas, tintas, aceites e impurezas. 2. Aplicar: Con pistola (spray) a 30 PSI (boquilla 1.8-2.0 mm) sobre las superficies a unir. 3. Secado: Máximo 15 minutos tras aplicación. 4. Unir: Ejerza presión con la mano, rodillo, prensa o golpeando firmemente con un ma",,Para más información consulte en www.grupoincap.com.co,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal en caso de ingestión y penetración en vías respiratorias. H315: Provoca irritación cutánea. H317: Puede provocar reacción alérgica en piel. H335: Puede irritar vías respiratorias. H336: Puede prov,"P102: Mantener fuera alcance niños. P210: Alejar de calor, chispas, llamas. No fumar. P233: Recipiente herméticamente cerrado. P261: Evitar respirar vapores. P280: Llevar guantes/ropa/protección facial/ocular. P301+P310+P331: INGESTIÓN: llamar inmedi",1
IN-8D-750,Incafom 8000D,,Incafom 8000D 750cc,IN-8D,750cc,,,,,0,1,,1111510309,incafom-8000d-750cc,products/incafom-8000d/750-01.jpg,products/incafom-8000d/750-02.jpg|products/incafom-8000d/750-03.jpg,PEGANTE PARA TAPICERÍA LIBRE DE TOLUENO,Resistencia temperatura Alto tack inicial y final Ideal para pegues curvos,"Preparar: Superficies libres de polvo, grasas, tintas, aceites e impurezas. 2. Aplicar: Con pistola (spray) a 30 PSI (boquilla 1.8-2.0 mm) sobre las superficies a unir. 3. Secado: Máximo 15 minutos tras aplicación. 4. Unir: Ejerza presión con la mano, rodillo, prensa o golpeando firmemente con un ma",,Para más información consulte en www.grupoincap.com.co,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal en caso de ingestión y penetración en vías respiratorias. H315: Provoca irritación cutánea. H317: Puede provocar reacción alérgica en piel. H335: Puede irritar vías respiratorias. H336: Puede prov,"P102: Mantener fuera alcance niños. P210: Alejar de calor, chispas, llamas. No fumar. P233: Recipiente herméticamente cerrado. P261: Evitar respirar vapores. P280: Llevar guantes/ropa/protección facial/ocular. P301+P310+P331: INGESTIÓN: llamar inmedi",1
IN-8D-002,Incafom 8000D,,Incafom 8000D 2L,IN-8D,2L,,,,,0,1,,1111510416,incafom-8000d-2l,products/incafom-8000d/002-01.jpg,products/incafom-8000d/002-02.jpg|products/incafom-8000d/002-03.jpg,PEGANTE PARA TAPICERÍA LIBRE DE TOLUENO,Resistencia temperatura Alto tack inicial y final Ideal para pegues curvos,"Preparar: Superficies libres de polvo, grasas, tintas, aceites e impurezas. 2. Aplicar: Con pistola (spray) a 30 PSI (boquilla 1.8-2.0 mm) sobre las superficies a unir. 3. Secado: Máximo 15 minutos tras aplicación. 4. Unir: Ejerza presión con la mano, rodillo, prensa o golpeando firmemente con un ma",,Para más información consulte en www.grupoincap.com.co,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal en caso de ingestión y penetración en vías respiratorias. H315: Provoca irritación cutánea. H317: Puede provocar reacción alérgica en piel. H335: Puede irritar vías respiratorias. H336: Puede prov,"P102: Mantener fuera alcance niños. P210: Alejar de calor, chispas, llamas. No fumar. P233: Recipiente herméticamente cerrado. P261: Evitar respirar vapores. P280: Llevar guantes/ropa/protección facial/ocular. P301+P310+P331: INGESTIÓN: llamar inmedi",1
IN-8D-003,Incafom 8000D,,Incafom 8000D 3L,IN-8D,3L,,,,,0,1,,1111510317,incafom-8000d-3l,products/incafom-8000d/003-01.jpg,products/incafom-8000d/003-02.jpg|products/incafom-8000d/003-03.jpg,PEGANTE PARA TAPICERÍA LIBRE DE TOLUENO,Resistencia temperatura Alto tack inicial y final Ideal para pegues curvos,"Preparar: Superficies libres de polvo, grasas, tintas, aceites e impurezas. 2. Aplicar: Con pistola (spray) a 30 PSI (boquilla 1.8-2.0 mm) sobre las superficies a unir. 3. Secado: Máximo 15 minutos tras aplicación. 4. Unir: Ejerza presión con la mano, rodillo, prensa o golpeando firmemente con un ma",,Para más información consulte en www.grupoincap.com.co,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal en caso de ingestión y penetración en vías respiratorias. H315: Provoca irritación cutánea. H317: Puede provocar reacción alérgica en piel. H335: Puede irritar vías respiratorias. H336: Puede prov,"P102: Mantener fuera alcance niños. P210: Alejar de calor, chispas, llamas. No fumar. P233: Recipiente herméticamente cerrado. P261: Evitar respirar vapores. P280: Llevar guantes/ropa/protección facial/ocular. P301+P310+P331: INGESTIÓN: llamar inmedi",1
IN-8D-005,Incafom 8000D,,Incafom 8000D 5L,IN-8D,5L,,,,,0,1,,1111511187,incafom-8000d-5l,products/incafom-8000d/005-01.jpg,products/incafom-8000d/005-02.jpg|products/incafom-8000d/005-03.jpg,PEGANTE PARA TAPICERÍA LIBRE DE TOLUENO,Resistencia temperatura Alto tack inicial y final Ideal para pegues curvos,"Preparar: Superficies libres de polvo, grasas, tintas, aceites e impurezas. 2. Aplicar: Con pistola (spray) a 30 PSI (boquilla 1.8-2.0 mm) sobre las superficies a unir. 3. Secado: Máximo 15 minutos tras aplicación. 4. Unir: Ejerza presión con la mano, rodillo, prensa o golpeando firmemente con un ma",,Para más información consulte en www.grupoincap.com.co,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal en caso de ingestión y penetración en vías respiratorias. H315: Provoca irritación cutánea. H317: Puede provocar reacción alérgica en piel. H335: Puede irritar vías respiratorias. H336: Puede prov,"P102: Mantener fuera alcance niños. P210: Alejar de calor, chispas, llamas. No fumar. P233: Recipiente herméticamente cerrado. P261: Evitar respirar vapores. P280: Llevar guantes/ropa/protección facial/ocular. P301+P310+P331: INGESTIÓN: llamar inmedi",1
IN-8D-038,Incafom 8000D,,Incafom 8000D 3.8 Gal,IN-8D,3.8 Gal,,,,,0,1,,1111510345,incafom-8000d-3-8-gal,products/incafom-8000d/038-01.jpg,products/incafom-8000d/038-02.jpg|products/incafom-8000d/038-03.jpg,PEGANTE PARA TAPICERÍA LIBRE DE TOLUENO,Resistencia temperatura Alto tack inicial y final Ideal para pegues curvos,"Preparar: Superficies libres de polvo, grasas, tintas, aceites e impurezas. 2. Aplicar: Con pistola (spray) a 30 PSI (boquilla 1.8-2.0 mm) sobre las superficies a unir. 3. Secado: Máximo 15 minutos tras aplicación. 4. Unir: Ejerza presión con la mano, rodillo, prensa o golpeando firmemente con un ma",,Para más información consulte en www.grupoincap.com.co,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal en caso de ingestión y penetración en vías respiratorias. H315: Provoca irritación cutánea. H317: Puede provocar reacción alérgica en piel. H335: Puede irritar vías respiratorias. H336: Puede prov,"P102: Mantener fuera alcance niños. P210: Alejar de calor, chispas, llamas. No fumar. P233: Recipiente herméticamente cerrado. P261: Evitar respirar vapores. P280: Llevar guantes/ropa/protección facial/ocular. P301+P310+P331: INGESTIÓN: llamar inmedi",1
IN-8D-045,Incafom 8000D,,Incafom 8000D 4.5 Gal,IN-8D,4.5 Gal,,,,,0,1,,1111510327,incafom-8000d-4-5-gal,products/incafom-8000d/045-01.jpg,products/incafom-8000d/045-02.jpg|products/incafom-8000d/045-03.jpg,PEGANTE PARA TAPICERÍA LIBRE DE TOLUENO,Resistencia temperatura Alto tack inicial y final Ideal para pegues curvos,"Preparar: Superficies libres de polvo, grasas, tintas, aceites e impurezas. 2. Aplicar: Con pistola (spray) a 30 PSI (boquilla 1.8-2.0 mm) sobre las superficies a unir. 3. Secado: Máximo 15 minutos tras aplicación. 4. Unir: Ejerza presión con la mano, rodillo, prensa o golpeando firmemente con un ma",,Para más información consulte en www.grupoincap.com.co,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal en caso de ingestión y penetración en vías respiratorias. H315: Provoca irritación cutánea. H317: Puede provocar reacción alérgica en piel. H335: Puede irritar vías respiratorias. H336: Puede prov,"P102: Mantener fuera alcance niños. P210: Alejar de calor, chispas, llamas. No fumar. P233: Recipiente herméticamente cerrado. P261: Evitar respirar vapores. P280: Llevar guantes/ropa/protección facial/ocular. P301+P310+P331: INGESTIÓN: llamar inmedi",1
IN-8D-080,Incafom 8000D,,Incafom 8000D 8 Gal,IN-8D,8 Gal,,,,,0,1,,1111511483,incafom-8000d-8-gal,products/incafom-8000d/080-01.jpg,products/incafom-8000d/080-02.jpg|products/incafom-8000d/080-03.jpg,PEGANTE PARA TAPICERÍA LIBRE DE TOLUENO,Resistencia temperatura Alto tack inicial y final Ideal para pegues curvos,"Preparar: Superficies libres de polvo, grasas, tintas, aceites e impurezas. 2. Aplicar: Con pistola (spray) a 30 PSI (boquilla 1.8-2.0 mm) sobre las superficies a unir. 3. Secado: Máximo 15 minutos tras aplicación. 4. Unir: Ejerza presión con la mano, rodillo, prensa o golpeando firmemente con un ma",,Para más información consulte en www.grupoincap.com.co,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal en caso de ingestión y penetración en vías respiratorias. H315: Provoca irritación cutánea. H317: Puede provocar reacción alérgica en piel. H335: Puede irritar vías respiratorias. H336: Puede prov,"P102: Mantener fuera alcance niños. P210: Alejar de calor, chispas, llamas. No fumar. P233: Recipiente herméticamente cerrado. P261: Evitar respirar vapores. P280: Llevar guantes/ropa/protección facial/ocular. P301+P310+P331: INGESTIÓN: llamar inmedi",1
IN-8D-530,Incafom 8000D,,Incafom 8000D 53 Gal,IN-8D,53 Gal,,,,,0,1,,1111510352,incafom-8000d-53-gal,products/incafom-8000d/530-01.jpg,products/incafom-8000d/530-02.jpg|products/incafom-8000d/530-03.jpg,PEGANTE PARA TAPICERÍA LIBRE DE TOLUENO,Resistencia temperatura Alto tack inicial y final Ideal para pegues curvos,"Preparar: Superficies libres de polvo, grasas, tintas, aceites e impurezas. 2. Aplicar: Con pistola (spray) a 30 PSI (boquilla 1.8-2.0 mm) sobre las superficies a unir. 3. Secado: Máximo 15 minutos tras aplicación. 4. Unir: Ejerza presión con la mano, rodillo, prensa o golpeando firmemente con un ma",,Para más información consulte en www.grupoincap.com.co,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal en caso de ingestión y penetración en vías respiratorias. H315: Provoca irritación cutánea. H317: Puede provocar reacción alérgica en piel. H335: Puede irritar vías respiratorias. H336: Puede prov,"P102: Mantener fuera alcance niños. P210: Alejar de calor, chispas, llamas. No fumar. P233: Recipiente herméticamente cerrado. P261: Evitar respirar vapores. P280: Llevar guantes/ropa/protección facial/ocular. P301+P310+P331: INGESTIÓN: llamar inmedi",1
IN-81-120,Incafom 8100,,Incafom 8100 120cc,IN-81,120cc,,,,,0,1,,1111511102,incafom-8100-120cc,products/incafom-8100/120-01.jpg,products/incafom-8100/120-02.jpg|products/incafom-8100/120-03.jpg,PEGUE DE TELAS ESPUMAS-MADERAS,Olor suave Libre de Tolueno Tack prolongado Aplicación a pistola o manual,"Preparar: Superficies libres de polvo, grasas, tintas, aceites e impurezas. 2. Aplicar: Con pistola (spray) a 30 PSI (boquilla 1.8-2.0 mm) o aplicación manual con brocha sobre las superficies a unir. 3. Secado: Máximo 15 minutos tras aplicación. 4. Unir: Ejerza presión con la mano, rodillo, prensa o","Las superficies deben estar libres de polvo, grasas, tintas, aceites y cualquier otro tipo de impureza. Aplique sobre las superficies a unir, con pistola (spray) a 30 PSI",,,,,,
IN-81-375,Incafom 8100,,Incafom 8100 375cc,IN-81,375cc,,,,,0,1,,1111510304,incafom-8100-375cc,products/incafom-8100/375-01.jpg,products/incafom-8100/375-02.jpg|products/incafom-8100/375-03.jpg,PEGUE DE TELAS ESPUMAS-MADERAS,Olor suave Libre de Tolueno Tack prolongado Aplicación a pistola o manual,"Preparar: Superficies libres de polvo, grasas, tintas, aceites e impurezas. 2. Aplicar: Con pistola (spray) a 30 PSI (boquilla 1.8-2.0 mm) o aplicación manual con brocha sobre las superficies a unir. 3. Secado: Máximo 15 minutos tras aplicación. 4. Unir: Ejerza presión con la mano, rodillo, prensa o","Las superficies deben estar libres de polvo, grasas, tintas, aceites y cualquier otro tipo de impureza. Aplique sobre las superficies a unir, con pistola (spray) a 30 PSI",,,,,,
IN-81-750,Incafom 8100,,Incafom 8100 750cc,IN-81,750cc,,,,,0,1,,1111510309,incafom-8100-750cc,products/incafom-8100/750-01.jpg,products/incafom-8100/750-02.jpg|products/incafom-8100/750-03.jpg,PEGUE DE TELAS ESPUMAS-MADERAS,Olor suave Libre de Tolueno Tack prolongado Aplicación a pistola o manual,"Preparar: Superficies libres de polvo, grasas, tintas, aceites e impurezas. 2. Aplicar: Con pistola (spray) a 30 PSI (boquilla 1.8-2.0 mm) o aplicación manual con brocha sobre las superficies a unir. 3. Secado: Máximo 15 minutos tras aplicación. 4. Unir: Ejerza presión con la mano, rodillo, prensa o","Las superficies deben estar libres de polvo, grasas, tintas, aceites y cualquier otro tipo de impureza. Aplique sobre las superficies a unir, con pistola (spray) a 30 PSI",,,,,,
IN-81-002,Incafom 8100,,Incafom 8100 2L,IN-81,2L,,,,,0,1,,1111510416,incafom-8100-2l,products/incafom-8100/002-01.jpg,products/incafom-8100/002-02.jpg|products/incafom-8100/002-03.jpg,PEGUE DE TELAS ESPUMAS-MADERAS,Olor suave Libre de Tolueno Tack prolongado Aplicación a pistola o manual,"Preparar: Superficies libres de polvo, grasas, tintas, aceites e impurezas. 2. Aplicar: Con pistola (spray) a 30 PSI (boquilla 1.8-2.0 mm) o aplicación manual con brocha sobre las superficies a unir. 3. Secado: Máximo 15 minutos tras aplicación. 4. Unir: Ejerza presión con la mano, rodillo, prensa o","Las superficies deben estar libres de polvo, grasas, tintas, aceites y cualquier otro tipo de impureza. Aplique sobre las superficies a unir, con pistola (spray) a 30 PSI",,,,,,
